CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
14.631.148/0001-39;2020-06-01;1;2020-10-05;HAZ FUNDO DE INVESTIMENTO IMOBILIARIO;2012-04-01;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRATCCTF008;928908.19633869;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Determinado;2023-11-09;30/06;S;N;N;S;N;RJI CTVM LTDA;14.631.148/000;RUA DO OUVIDOR;97;7 andar;CENTRO;RIO DE JANEIRO;RJ;20040030;21 3500-4500;21 3500-4541;;www.rjicv.com.br;backoffice.adm@rjicv.com.br
14.721.889/0001-00;2020-12-01;1;2021-05-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO SHOPPING INDAIATUBA;2012-12-20;INVESTIDORES EM GERAL;BRVPSICTF007;8071897;N;S;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;S;N;S;S;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;14721889000100;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.vam.com.br;vwmprodutosestruturados@bv.com.br
14.733.211/0001-48;2020-12-01;1;2021-03-29;HEDGE SHOPPING PRAÇA DA MOÇA FUNDO DE INVEST IMOB;2011-12-02;INVESTIDOR QUALIFICADO;BRHMOCCTF005;382017;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;14733211000148;AVENIDA HORÁCIO LAFER;160;9º ANDAR (PARTE);ITAIM BIBI;SÃO PAULO;SP;04538-080;(11) 3124-4100;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
14.788.458/0001-61;2020-06-01;2;2020-10-04;FUNDO DE INVESTIMENTO IMOBILIARIO AMETISTA - FII;2012-01-27;INVESTIDORES EM GERAL;BRAMSACTF005;517537;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;30/06;N;S;N;N;S;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;14788458000161;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
14.788.492/0001-36;2020-06-01;2;2020-10-05;FUNDO DE INVESTIMENTO IMOBILIARIO - FII PATEO BANDEIRANTES;2013-01-21;INVESTIDORES EM GERAL;BRPATBCTF004;3611764;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;Junho;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;14788492000136;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
14.793.782/0001-78;2020-12-01;1;2021-03-29;NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2012-04-09;INVESTIDORES EM GERAL;BRRDESCTF000;742000;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;PLURAL S.A. BANCO MÚLTIPLO;14793782000178;PR BOTAFOGO;228;SALA 907;BOTAFOGO;RIO DE JANEIRO;RJ;22250-909;(11) 3206-8000;;;www.bancoplural.com;middleadm@bancogenial.com
14.879.856/0001-93;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO SHOPPING JARDIM SUL;2012-11-05;INVESTIDORES EM GERAL;BRJRDMCTF002;2522968;N;N;Renda;Shoppings;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;14879856000193;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
15.006.267/0001-63;2020-12-01;1;2021-03-31;FII TRX EDIFICIOS CORPORATIVOS;2012-11-08;INVESTIDORES EM GERAL;BRXTEDCTF006;1792557;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;15006267000163;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
15.006.286/0001-90;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO RIO NEGRO;2012-04-20;INVESTIDORES EM GERAL;BRRNGOCTF003;2676000;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;15.006.286/000;Av. Chedid Jafet;222;Bloco B - CJ 32;Vila Olímpia;São Paulo;SP;4551065;11 3599 6600;;;riobravo.com.br;fundosimobiliarios@riobravo.com.br
15.098.422/0001-19;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO PLUS;2018-03-16;INVESTIDOR QUALIFICADO;BRVTPLCTF009;1350000;N;N;Renda;Logística;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;15098422000119;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
15.254.249/0001-09;2020-12-01;1;2021-03-29;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO VLT - FII;2013-06-13;INVESTIDOR QUALIFICADO;BRVLTVCTF007;106225000;N;N;Híbrido;Híbrido;Ativa;Determinado;2038-09-16;31/12;N;N;S;N;N;CAIXA ECONOMICA FEDERAL;15254249000109;Avenida Paulista;2300;11º Andar;Cerqueira Cesar;São Paulo;SP;01310300;(11) 3572-4210;;;www.caixa.gov.br;geafi01@caixa.gov.br
15.296.696/0001-12;2020-12-01;1;2021-03-31;VILA OLIMPIA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2012-08-08;INVESTIDORES EM GERAL;BRVLOLCTF009;1784828;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;15296696000112;Avenida das Américas;3434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
15.333.306/0001-37;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA;2012-08-27;INVESTIDORES EM GERAL;BREDGACTF001;3812055;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;15333306000137;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
15.348.117/0001-38;2020-12-01;1;2021-03-31;SUCCESS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2008-01-11;INVESTIDOR PROFISSIONAL;0;1000;S;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS AS;15348117000138;Av Faria Lima;2277;17º andar;Vila Olimpia;São Paulo;SP;01452000;35141300;;;www.reag.com.br;silvano.gersztel@reag.com.br
15.394.563/0001-89;2020-12-01;1;2021-05-07;BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL;2012-05-07;INVESTIDORES EM GERAL;BRRNDPCTF007;107481;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Determinado;2022-04-30;31/12;S;N;N;S;N;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;15394563000189;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5096;;;www.bancobv.com.br;RI-VAM@bv.com.br
15.447.108/0001-02;2020-12-01;1;2021-03-31;GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-03-01;INVESTIDOR QUALIFICADO;BRISSHCTF000;1089450000;S;N;Renda;Shoppings;Passiva;Indeterminado;;Dezembro;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;15447108000102;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
15.447.110/0001-73;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOPPING CIDADE JARDIM;2016-12-28;INVESTIDOR QUALIFICADO;BRALVSCTF003;432488772;S;N;Renda;Shoppings;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;15447110000173;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
15.461.076/0001-91;2020-12-01;1;2021-03-30;FUNDO DE INVESTIMENTOS IMOBILIÁRIO BR HOTÉIS FII;2012-08-22;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRBRHTCTF005;1841677;S;N;Desenvolvimento para Renda;Hotel;Ativa;Indeterminado;;Dezembro;S;N;N;S;N;ELITE CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS LTDA;15.461.076/000;Praça Pio X;55;11º andar;Centro;Rio de Janeiro -RJ;RJ;20040-020;21-2142-2103;;;www.eliteinvestimentos.com.br;dart@eliteinvestimentos.com.br
15.538.445/0001-05;2020-12-01;1;2021-03-30;SP DOWNTOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-03-01;INVESTIDORES EM GERAL;BRSPTWCTF002;1798000;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIARIOS S.A.;15538445000105;PR DE BOTAFOGO;228;SALA 913 PARTE;Centro;Rio de Janeiro;RJ;20091-020;(11) 3206-8340;(11) 3206-8888;;https://www.genialinvestimentos.com.br/;middleadm@bancogenial.com
15.570.431/0001-60;2020-12-01;1;2021-03-30;BANRISUL NOVAS FRONTEIRAS FII;2012-09-11;INVESTIDORES EM GERAL;BRBNFSCTF000;700000;N;N;Desenvolvimento para Renda;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;15570431000160;AVENIDA DAS AMÉRICAS;3434;Bloco 07, sala 201;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22640102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
15.576.907/0001-70;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO;2012-11-01;INVESTIDORES EM GERAL;BRAGCXCTF003;10693931;N;N;Desenvolvimento para Renda;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;15576907000170;AV. CHEDID JAFET;222;BLOCO B - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
15.769.670/0001-44;2020-12-01;1;2021-02-26;RIO BRAVO CREDITO IMOBILIARIO II FII;2012-12-18;INVESTIDOR QUALIFICADO;BRRBVOCTF007;515824;N;N;Renda;Outros;Ativa;Determinado;2024-12-18;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;15769670000144;Av. Chedid Jafet;222;Bloco B - 3º andar;Vila Olimpia;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;correspondencia@riobravo.com.br
15.799.397/0001-09;2020-12-01;1;2021-03-31;FII CEO CYRELA COMMERCIAL PROPERTIES;2012-10-29;INVESTIDORES EM GERAL;BRCEOCCTF003;1815696;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;15799397000109;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
16.543.270/0001-89;2020-12-01;1;2021-01-18;SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILÁRIO - FII;2014-05-21;INVESTIDOR QUALIFICADO;BRFISDCTF006;1072588.36;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Determinado;2022-05-20;31/12;S;N;N;S;N;RJI CTVM LTDA;16543270000189;RUA DO OUVIDOR;97;7 andar;CENTRO;RIO DE JANEIRO;RJ;20040030;21 3500-4500;21 3500-4541;;www.rjicv.com.br;backoffice.adm@rjicv.com.br
16.671.412/0001-93;2020-12-01;1;2021-03-31;SDI RIO BRAVO RENDA LOGÍSTICA - FII;2012-11-16;INVESTIDORES EM GERAL;BRSDILCTF004;4770100;N;N;Renda;Logística;Ativa;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA.;16671412000193;Avenida Chedid Jafet;222;Bloco B - 3º Andar - Cj. 32;Vila Olimpia;São Paulo;SP;0455106;3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
16.706.958/0001-32;2020-01-01;1;2020-02-10;KINEA RENDIMENTOS IMOBILIÁRIOS FII;2012-10-15;INVESTIDORES EM GERAL;BRKNCRCTF000;39097087;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;16706958000132;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;relacionamento.intrag@itau-unibanco.com.br
16.706.958/0001-32;2020-06-01;1;2020-09-18;KINEA RENDIMENTOS IMOBILIÁRIOS FII;2012-10-15;INVESTIDORES EM GERAL;BRKNCRCTF000;39097087;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;16706958000132;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
16.802.320/0001-03;2020-12-01;1;2021-03-31;XP CORPORATE MACAÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-03-11;INVESTIDORES EM GERAL;BRXPCMCTF009;2414570;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA.;16802320000103;Avenida Chedid Jafet;222;Bloco B - 3º Andar;Vila Olimpia;São Paulo;SP;0455106;3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
16.841.067/0001-99;2020-12-01;1;2021-03-31;SOCOPA FUNDO DE INVESTIMENTO IMOBILIARIO;2014-03-13;INVESTIDOR QUALIFICADO;BRREITCTF007;26291;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A;16841067000199;Avenida Brigadeiro Faria Lima;1355;15° andar;Jardim Paulistano;São Paulo;SP;01452-002;(11) 2827-3500;;;www.singulare.com.br;fip.fii.adm@singulare.com.br
16.915.868/0001-51;2020-12-01;1;2021-03-29;JHSF RIO BRAVO FAZENDA BOA VISTA CAPITAL PROTEGIDO FII;2013-07-22;INVESTIDORES EM GERAL;BRRBBVCTF004;1254164;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Passiva;Determinado;2021-07-21;31/12;S;N;N;S;N;CAIXA ECONOMICA FEDERAL;16915868000151;Avenida Paulista;2300;11° Andar;Cerqueira Cesar;São Paulo;SP;01310-300;(11) 3572-4210;;;www.caixa.gov.br;geafi01@caixa.gov.br
16.915.968/0001-88;2020-12-01;1;2021-03-31;MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII;2013-03-06;INVESTIDORES EM GERAL;BRMFIICTF008;2887144;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;PLANNER CORRETORA DE VALORES S.A.;16915968000188;AV. BRIGADEIRO FARIA LIMA;3900;10 ANDAR;ITAIM BIBI;SÃO PAULO;SP;04538132;(11) 2138-8200;;;WWW.PLANNER.COM.BR;AFIGUEIREDO@PLANNER.COM.BR
16.924.913/0001-34;2020-06-01;1;2020-09-30;VISTA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-09-06;INVESTIDOR QUALIFICADO;BRVREFCTF009;84100000;N;N;Desenvolvimento para Venda;Híbrido;Ativa;Determinado;2023-09-06;30/06;S;S;N;N;S;PLURAL S.A. BANCO MULTIPLO;16924913000134;PRAIA DE BOTAFOGO;228;9° ANDAR;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;1132068000;;;https://www.bancoplural.com/;middleadm@genialinvestimentos.com.br
16.929.519/0001-99;2020-12-01;1;2021-03-29;HEDGE REALTY DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILIÁRIO;2013-12-20;INVESTIDOR QUALIFICADO;BRHRDFCTF000;7587125;N;N;Desenvolvimento para Venda;Híbrido;Ativa;Determinado;2021-12-20;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;16929519000199;AVENIDA HORÁCIO LAFER;160;9º ANDAR (PARTE);ITAIM BIBI;SÃO PAULO;SP;04538-080;(11) 3124-4100;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
17.007.443/0001-07;2020-06-01;1;2020-09-28;TRANSINC FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-08-05;INVESTIDORES EM GERAL;BRTSNCCTF009;18113;N;S;Híbrido;Híbrido;Ativa;Determinado;2033-08-15;30/06;S;S;N;S;N;BANCO FINAXIS S.A.;17007443000107;Rua Pasteur;463;11° andar;Água Verde;Curitiba;PR;80250 -104;(41) 3074-0909;(41) 3074-5817;(41) 3074-0928;http://finaxis.com.br/;informacoesfundos@finaxis.com.br
17.007.528/0001-95;2020-06-01;1;2020-09-28;FUNDO DE INVESTIMENTO IMOBILIÁRIO GENERAL SEVERIANO;2016-07-04;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRGESECTF001;38881.16404696;N;N;Renda;Outros;Passiva;Determinado;2036-07-04;30/06;S;S;N;S;S;OLIVEIRA TRUST DTVM S.A.;17007528000195;Avenida das Américas;3434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
17.025.970/0001-44;2020-12-01;1;2021-03-30;FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE;2014-07-28;INVESTIDOR QUALIFICADO;BRNVHOCTF003;41494533;N;N;Desenvolvimento para Renda;Hospital;Ativa;Indeterminado;;31/12;S;N;N;S;N;PLURAL S.A. BANCO MÚLTIPLO;17025970000144;Praia de Botafogo;228;Salas 907;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3206-8000;;;https://www.bancoplural.com/;middleadm@bancogenial.com
17.035.124/0001-05;2020-06-01;1;2020-09-29;FUNDO DE INVESTIMENTO IMOBILIÁRIO HUMAITÁ - FII;2014-12-15;INVESTIDOR PROFISSIONAL;;1000;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;30/06;N;S;N;N;S;BRL TRUST DTVM S.A;17035124000105;RUA IGUATEMI;151;19 ANDAR;ITAIM BIBI;SÃO PAULO;SP;01451011;(11)3133-0350;;;WWW.BRLTRUST.COM.BR;fii@brltrust.com.br
17.098.794/0001-70;2020-12-01;2;2021-03-26;CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO;2013-11-22;INVESTIDORES EM GERAL;BRCXRICTF003;1575760;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;CAIXA ECONOMICA FEDERAL;17098794000170;Avenida Paulista;2300;11º Andar;Cerqueira Cesar;São Paulo;SP;01310300;(11) 3572-4210;;;www.caixa.gov.br;geafi01@caixa.gov.br
17.144.039/0001-85;2020-12-01;1;2021-03-02;CASTELLO BRANCO OFFICE PARK - FDO INVEST IMOBILIÁRIO - FII;2012-12-17;INVESTIDORES EM GERAL;BRCBOPCTF001;1415000;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.;17144039000185;RUA LEOPOLDO COUTO MAGALHAES JR;700;11º andar;ITAIM BIBI;SÃO PAULO;SP;04542-000;(11) 3701-8600;;;imobiliario.cshg.com.br;list.imobiliario@cshg.com.br
17.156.502/0001-09;2020-12-01;1;2021-03-30;POLO FII RECEBÍVEIS IMOBILIÁRIOS II;2012-09-20;INVESTIDOR QUALIFICADO;BRPORDCTF005;1972845;N;N;Títulos e Valores Mobiliários;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;17156502000109;Av. das Américas;3434;Bl. 07 Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
17.161.979/0001-82;2020-12-01;1;2021-03-30;FUNDO DE INVESTIMENTO PEDRA NEGRA RENDA IMOBILIÁRIA;2013-02-14;INVESTIDORES EM GERAL;BRFPNGCTF005;990500;N;S;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.;17161979000182;AVENIDA NAÇÕES UNIDAS;11857;CJ. 111;BROOKLIN NOVO;SÃO PAULO;SP;04578908;11-5508.3500;;;WWW.BRCAPITAL.COM.BR;fundos@brcapital.com.br
17.198.404/0001-34;2020-12-01;1;2021-03-31;JIVE ATIVOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2015-12-04;INVESTIDOR QUALIFICADO;;16.999120728;S;N;Renda;Híbrido;Ativa;Determinado;2021-12-04;31/12;N;S;N;N;S;MODAL D.T.V.M. LTDA;17198404000134;PRAIA DE BOTAFOGO;501;5 ANDAR - TORRE PÃO DE AÇÚCAR;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;2132237700;2132237746;;HTTPS://MODAL.COM.BR;FUNDOS.MODAL@MODAL.COM.BR
17.198.500/0001-82;2020-12-01;1;2021-03-30;SB FUNDO DE INVESTIMENTO IMOBILIÁRIO;2012-12-12;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRSBFICTF000;88267;N;N;Renda;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A;17198500000182;AV. PRESIDENTE WILSON;231;11º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20030905;32192554;;;www.bnymellon.com.br;bnymellon_cvm@bnymellon.com.br
17.209.378/0001-00;2020-06-01;1;2020-09-28;LATERES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2013-04-04;INVESTIDOR QUALIFICADO;BRLATRCTF009;124104;S;N;Desenvolvimento para Venda;Residencial;Ativa;Determinado;2023-04-03;30/06;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;17209378000100;Avenida das Américas;3434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 35140000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
17.211.882/0001-37;2020-12-01;1;2021-03-31;FI IMOBILIARIO JHSF CATARINA CORPORATE BERLIM;2013-01-18;INVESTIDOR QUALIFICADO;BRJHCTCTF000;20000;N;N;Desenvolvimento para Renda;Outros;Passiva;Indeterminado;;31/12;S;S;N;S;N;PLANNER TRUSTEE DTVM LTDA;17211882000137;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2600;0800 179 444;(11) 2172-2667;www.planner.com.br;investfundos@planner.com.br
17.216.625/0001-98;2020-06-01;1;2020-09-25;JPP CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-05-03;INVESTIDORES EM GERAL;BRJPPCCTF001;55000;N;N;Híbrido;Híbrido;Ativa;Determinado;2020-04-02;30/06;S;N;N;S;N;BANCO FINAXIS S.A.;17216625000198;Rua Pasteur;463;11° andar;Água Verde;Curitiba;PR;80250 -104;(41) 3074-0909;(41) 3074-5817;(41) 3074-0928;http://finaxis.com.br/;informacoesfundos@finaxis.com.br
17.282.011/0001-04;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO FII GOLDEN;2012-12-26;INVESTIDORES EM GERAL;BRGLDNCTF009;375129;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;17282011000104;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
17.308.805/0001-08;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO SHOPPING LIGHT;2015-06-08;INVESTIDOR QUALIFICADO;0;164630;S;N;Renda;Shoppings;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;17308805000108;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
17.311.079/0001-74;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE;2014-03-19;INVESTIDOR QUALIFICADO;BRSAICCTF009;1429740;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRB DISTRIBUIDORA DE TÍTULOS E VALORES IMOBILIÁRIOS;17311079000174;Centro Empresarial CNC - ST SAUN Quadra 5 Lote C, Bloco C,;n/a;2º Andar;Brasília;Brasília;DF;70040250;61 3409-2025;;;www.brb.com.br;relacionamento@dtvm.brb.com.br
